,path,sentence
0,wavs/common_voice_th_26195545.wav,ถ้าทำแบบนี้ ถูกไล่ออก ครอบครัวจะไปอยู่ไหน
1,wavs/common_voice_th_26195558.wav,ธนพิริยะ
4,wavs/common_voice_th_26264429.wav,คอมพิวเตอร์อ่านเข้าใจ
7,wavs/common_voice_th_26264560.wav,ต้องใช้เงินทุนจำนวนมาก
8,wavs/common_voice_th_26264600.wav,อันนี้ตอบแบบไม่ตอบ
10,wavs/common_voice_th_26264602.wav,จองโตเกียวปีหน้าละ
12,wavs/common_voice_th_26264615.wav,ปากปีจอ
13,wavs/common_voice_th_26264643.wav,อันไหนไม่รีบ ปิด ครับ
14,wavs/common_voice_th_26264654.wav,ใยแมงมุม เหนียว
16,wavs/common_voice_th_26264657.wav,สามคนจากทั้งหมดถูกเขย่า
18,wavs/common_voice_th_26515698.wav,ไมด้า ลิสซิ่ง
19,wavs/common_voice_th_26515721.wav,ชั่วโมงเร่งด่วน
20,wavs/common_voice_th_26515724.wav,ตกลง
27,wavs/common_voice_th_26515782.wav,มหาวิทยาลัยเทคโนโลยีสุรนารี
30,wavs/common_voice_th_26515810.wav,เบื่อเป็นยารุ
31,wavs/common_voice_th_26515812.wav,เพราะร้องไห้เก่งมาก
35,wavs/common_voice_th_26515845.wav,น้ำใจงาม
36,wavs/common_voice_th_26515846.wav,น่าจะฮะ เดี๋ยวอัปเดตครับ
38,wavs/common_voice_th_26515848.wav,ใส่หน้ากากด้วยครับ
39,wavs/common_voice_th_26515849.wav,จอดรถหน้าร้านไม่ได้
40,wavs/common_voice_th_26515866.wav,แม่ม่ายผัวร้าง
42,wavs/common_voice_th_26515868.wav,หัวดาวหัวเดือน
43,wavs/common_voice_th_26515869.wav,นักท่องเที่ยว
44,wavs/common_voice_th_26515870.wav,ตกอยู่ในอันตราย
46,wavs/common_voice_th_26515891.wav,ตู้เก็บเอกสาร
48,wavs/common_voice_th_26515935.wav,ความเป็นอันหนึ่งอันเดียว
49,wavs/common_voice_th_26515936.wav,สร้างชื่อเสียง
54,wavs/common_voice_th_26515953.wav,ที่ดินทำกิน
58,wavs/common_voice_th_25704480.wav,เงิน
